modifier_id_dec,modifier_id_hex,data_labels,upgrade_names_ru,provider_count,representative_providers,recovered_mechanics,mechanics_confidence,name_status,notes
907,0x38B,Summon,,8,"item.var/140 Посох Вызывателя | item.var/166 Дьявольский трезубец | item.var/240 Мантия Воплощений | item.var/334 Браслет Луны | item.var/354 Пояс Вечности | item_set.var/6 Одеяния Воплощений | item_set.var/17 Артефакты Вечности | skill.var/17 Призыв [hero, 2]",,data only,confirmed from data,
908,0x38C,DropResist|LowerResist|SpellPenetration,,9,item.var/136 Кинжал Чародея | item.var/138 Кинжал Междумирья | item.var/209 Жезл Власти | item.var/242 Мантия Тайны | item.var/375 Амулет Вечности | item.var/389 Кольцо Чародея | item_set.var/7 Покровы Тайны | item_set.var/17 Артефакты Вечности,,data only,confirmed from data,Provider list truncated
909,0x38D,Necromancy|PowerfulUndeads|UndeadPower,,7,"item.var/135 Нож Некроманта | item.var/208 Жезл Чернокнижника | item.var/287 Капюшон Некроманта | item.var/383 Кольцо некроманта | item.var/399 Книга Некруса | skill.var/21 Некромантия [hero, 1] | skill.var/21 Некромантия [hero, 3]",,data only,confirmed from data,
982,0x3D6,Pillage,,1,item.var/245 Куртка Мошенника,,data only,confirmed from data,
983,0x3D7,SpellCost,,3,item.var/144 Лунный посох | item.var/219 Кристаллическая сфера | item_set.var/17 Артефакты Вечности,,data only,confirmed from data,
985,0x3D9,,,3,"skill.var/27 Дипломатия [hero, 10] | skill.var/27 Дипломатия [hero, 20] | skill.var/27 Дипломатия [hero, 30]",,data only,unresolved,
990,0x3DE,ArmyExpGain,,2,"item_set.var/11 Доспех Ветерана | skill.var/7 Лидерство [hero, 5]",,data only,confirmed from data,
991,0x3DF,ExpGain|Exp_gain,,7,"item.var/83 Шляпа Волшебника | item.var/217 Сфера Мудрости | item.var/288 Капюшон Тайны | item.var/373 Драконий амулет | item.var/390 Кольцо Архимага | item_set.var/11 Доспех Ветерана | skill.var/19 Мудрость [hero, 10]",,data only,confirmed from data,
992,0x3E0,Looter,,6,"item.var/191 Бандитский лук | item.var/246 Куртка Атамана | item.var/312 Перчатки Мантикоры | item.var/336 Наруч Мародера | skill.var/28 Сбор трофеев [hero, 1] | skill.var/28 Сбор трофеев [hero, 2]",,data only,confirmed from data,
993,0x3E1,BowAttack|Bow_Attack|RangedAttack,,22,item.var/46 Обычные стрелы | item.var/47 Оперенные стрелы | item.var/48 Зазубренные стрелы | item.var/49 Утяжеленные стрелы | item.var/50 Мифрильные стрелы | item.var/98 Перчатки Лучника | item.var/229 Стрелы Степняков | item.var/230 Серебряные стрелы,,data only,confirmed from data,Provider list truncated
994,0x3E2,RangedAttack|WandAttack,,8,"item.var/215 Сфера Пламени | item.var/216 Сфера Мысли | item.var/218 Сфера Разрушения | item.var/220 Сфера Вечности | item.var/306 Перчатки Воплощений | item.var/308 Перчатки Тайны | skill.var/20 Мастер жезла [hero, 1] | skill.var/20 Мастер жезла [hero, 2]",,data only,confirmed from data,
995,0x3E3,Smithing,,4,"item.var/114 Браслет Кузнеца | item.var/315 Гномьи рукавицы | item.var/362 Драконий плащ | skill.var/14 Кузнечное дело [hero, 10]",,data only,confirmed from data,
996,0x3E4,Explore,,6,"item.var/244 Куртка Ловчего | item.var/270 Сапоги Путешественника | item.var/366 Волчий клык | item_set.var/3 Одежда Следопыта | skill.var/24 Разведка [hero, 5] | skill.var/24 Разведка [hero, 10]",,data only,confirmed from data,
997,0x3E5,ArmyPayment|Economy,,3,"item.var/320 Перчатки Владык | item.var/371 Медаль Капитана | skill.var/1 Обеспечение [hero, 10]",,data only,confirmed from data,
998,0x3E6,,,2,"skill.var/6 Маневр [hero, 1] | skill.var/26 Знание троп [hero, 1]",,data only,unresolved,
999,0x3E7,Initiative|initiative,,12,item.var/196 Лук Ветра | item.var/274 Сапоги-Скороходы | item.var/299 Шлем Грифона | item.var/328 Змеиный браслет | item.var/350 Пояс Мантикоры | item.var/363 Накидка Единорога | item.var/370 Змеиный амулет | item.var/379 Змеиное кольцо,,data only,confirmed from data,Provider list truncated
2003,0x7D3,Cast_Inspire,Воодушевление,2,unit_upg.var/123 Воодушевление (qty 1) | unit.var/22 Монах via upgrade 123,,data only,confirmed from data,
2007,0x7D7,Slow,Замедление,2,unit_upg.var/139 Замедление (qty 1) | unit.var/48 Маг via upgrade 139,,data only,confirmed from data,
2008,0x7D8,Haste,Ускорение,2,unit_upg.var/138 Ускорение (qty 2) | unit.var/17 Фея via upgrade 138,,data only,confirmed from data,
2009,0x7D9,Air_Shield,Воздушный щит,2,unit_upg.var/120 Воздушный щит (qty 1) | unit.var/48 Маг via upgrade 120,,data only,confirmed from data,
2010,0x7DA,Cast_Curse,Вызов проклятья,2,unit_upg.var/115 Вызов проклятья (qty 1) | unit.var/12 Шаман via upgrade 115,,data only,confirmed from data,
2011,0x7DB,,Благословение,1,unit_upg.var/118 Благословение (qty 1),,data only,confirmed from data,
2013,0x7DD,,Страх,1,unit_upg.var/121 Страх (qty 1),,data only,confirmed from data,
2014,0x7DE,,Подъятие скелета,1,unit_upg.var/122 Подъятие скелета (qty 2),,data only,confirmed from data,
2015,0x7DF,Raise_Zombie,Подъятие зомби,2,unit_upg.var/136 Подъятие зомби (qty 2) | unit.var/59 Чернокнижник via upgrade 136,,data only,confirmed from data,
2016,0x7E0,Dispel,Снятие чар,2,unit_upg.var/125 Снятие чар (qty 1) | unit.var/45 Жрец via upgrade 125,,data only,confirmed from data,
2017,0x7E1,,Астральная энергия,1,unit_upg.var/135 Астральная энергия (qty 2),,data only,confirmed from data,
2019,0x7E3,Summon_Imp,Вызов беса,2,unit_upg.var/124 Вызов беса (qty 1) | unit.var/65 Дьявол via upgrade 124,,data only,confirmed from data,
2021,0x7E5,Cast_Vulnerability,Вызов уязвимости,2,unit_upg.var/116 Вызов уязвимости (qty 1) | unit.var/29 Колдун via upgrade 116,,data only,confirmed from data,
2023,0x7E7,,Огненный шар,1,unit_upg.var/117 Огненный шар (qty 4),,data only,confirmed from data,
2037,0x7F5,,Исцеление,1,unit_upg.var/141 Исцеление (qty 3),,data only,confirmed from data,
2038,0x7F6,,Экзорцизм,1,unit_upg.var/119 Экзорцизм (qty 2),,data only,confirmed from data,
2049,0x801,,Воскрешение,1,unit_upg.var/143 Воскрешение (qty 4),,data only,confirmed from data,
2052,0x804,,Слово Власти,1,unit_upg.var/142 Слово Власти (qty 4),,data only,confirmed from data,
2056,0x808,,Общее проклятие,1,unit_upg.var/144 Общее проклятие (qty 4),,data only,confirmed from data,
2057,0x809,,Похищение жизни,1,unit_upg.var/126 Похищение жизни (qty 3),,data only,confirmed from data,
